unixtime,open,high,low,close,volume,label
1734811200000,97242.3,98084.9,96520.0,97261.8,21199.526,0.0
1734825600000,97261.7,97437.9,96532.0,96965.1,16009.718,0.0
1734840000000,96965.1,97057.0,95867.3,96192.1,22249.568,0.0
1734854400000,96192.1,97322.1,96172.1,97054.8,16254.938,0.0
1734868800000,97054.7,97266.6,95085.0,95341.0,35517.211,0.0
1734883200000,95341.0,96426.7,94642.4,94795.4,27681.696,0.0
1734897600000,94795.4,95787.7,94200.0,95153.5,30401.604,0.0
1734912000000,95153.4,96019.8,93655.3,95989.9,43781.728,0.0
1734926400000,95989.8,96488.8,94639.5,95360.5,28583.122,0.0
1734940800000,95360.5,96499.0,94974.2,95899.4,21634.571,0.0
1734955200000,95899.4,96377.2,93060.3,93217.6,63342.199,1.0
1734969600000,93217.7,94249.3,92634.7,92997.7,49457.666,1.0
1734984000000,92997.7,95480.4,92464.4,94861.1,40412.569,0.0
1734998400000,94861.0,94861.1,93525.6,94330.1,24731.379,0.0
1735012800000,94330.1,94638.6,93774.4,94200.0,14943.809,1.0
1735027200000,94199.9,94618.0,93800.0,94369.0,14932.806,1.0
1735041600000,94368.3,98274.9,94039.8,98243.5,66173.325,0.0
1735056000000,98243.5,99450.0,97522.5,97558.5,60647.937,0.0
1735070400000,97558.4,99074.8,97226.2,98627.2,30181.376,0.0
1735084800000,98626.9,98848.4,97681.3,98000.0,16945.268,0.0
1735099200000,98000.1,98539.5,97807.5,98049.7,11793.716,0.0
1735113600000,98049.8,99323.3,97709.9,97889.3,28204.972,0.0
1735128000000,97888.4,98797.9,97570.0,98493.3,27000.386,0.0
1735142400000,98493.3,99258.0,98100.0,98981.3,16271.137,0.0
1735156800000,98981.3,99580.7,98331.5,99379.7,24481.413,0.0
1735171200000,99379.6,99950.0,98400.1,98957.7,30003.867,0.0
1735185600000,98957.7,98957.7,97647.2,97669.6,20353.109,0.0
1735200000000,97669.5,97721.8,95153.0,95662.7,61946.222,0.0
1735214400000,95662.6,96227.4,95200.1,95993.5,37273.37,0.0
1735228800000,95993.1,96580.0,95400.0,96064.8,28521.113,0.0
1735243200000,96064.8,96079.9,95276.4,95751.0,16759.97,0.0
1735257600000,95750.9,96419.0,95350.1,96377.8,24193.173,0.0
1735272000000,96377.8,96580.0,94620.0,95074.4,33137.794,0.0
1735286400000,95080.1,97564.5,95080.1,96900.3,47936.629,0.0
1735300800000,96900.3,96999.0,93982.4,94539.9,46582.934,0.0
1735315200000,94539.9,94979.9,93440.0,94720.3,38793.661,0.0
1735329600000,94720.2,94794.0,94094.0,94258.9,15364.052,0.0
1735344000000,94258.9,94687.6,94100.0,94550.6,9504.565,0.0
1735358400000,94550.6,94762.3,94256.9,94334.7,7504.281,0.0
1735372800000,94334.6,94850.0,94261.7,94711.3,8716.735,0.0
1735387200000,94711.3,95346.1,94320.0,94407.7,20174.431,0.0
1735401600000,94407.8,95197.3,94356.5,94993.8,12257.034,0.0
1735416000000,94993.7,95700.0,94836.0,95259.1,9834.303,0.0
1735430400000,95259.1,95300.0,94761.0,95135.3,8086.524,0.0
1735444800000,95135.3,95250.0,94930.0,95233.2,4847.215,0.0
1735459200000,95233.3,95286.4,94968.4,94986.1,5718.538,0.0
1735473600000,94986.2,95195.0,93925.4,94468.4,25557.782,0.0
1735488000000,94468.3,94537.7,93333.0,93559.6,26206.812,0.0
1735502400000,93559.5,93892.5,92961.8,93700.0,24631.063,0.0
1735516800000,93699.9,94240.0,93326.0,93681.1,19319.653,0.0
1735531200000,93680.8,94048.9,93181.8,93688.9,16272.993,0.0
1735545600000,93688.9,94053.5,93433.0,93900.1,14170.338,0.0
1735560000000,93900.1,94249.9,91510.0,92081.5,70350.035,0.0
1735574400000,92081.5,94668.5,91758.3,94400.0,56405.037,0.0
1735588800000,94400.1,95031.6,91850.0,92759.3,45825.537,0.0
1735603200000,92759.3,92875.4,92000.0,92481.5,16941.843,0.0
1735617600000,92481.5,93000.0,92315.4,92819.6,11095.688,0.0
1735632000000,92819.5,94738.4,92800.0,94202.5,36509.765,0.0
1735646400000,94202.4,96254.3,94202.4,95389.4,58306.271,0.0
1735660800000,95389.3,95569.6,93145.1,94155.8,41481.273,0.0
1735675200000,94155.8,94218.3,93343.4,93548.9,14313.276,0.0
1735689600000,93548.8,94449.2,93460.2,93810.0,13962.019,0.0
1735704000000,93810.0,93914.7,93502.0,93660.7,7852.483,0.0
1735718400000,93660.7,93735.2,92796.5,93420.1,19004.988,0.0
1735732800000,93420.1,94489.5,93375.0,94409.9,22127.069,0.0
1735747200000,94409.9,94823.2,93729.2,94612.1,14907.698,0.0
1735761600000,94612.1,95161.2,94522.1,94580.9,13382.403,0.0
1735776000000,94580.9,95523.5,94357.4,95000.0,22798.717,0.0
1735790400000,95000.0,96031.4,94971.3,95815.3,20140.275,0.0
1735804800000,95815.4,96870.9,95612.5,96715.4,25249.289,0.0
1735819200000,96715.4,97440.0,95910.8,96428.5,52717.632,0.0
1735833600000,96428.5,97777.0,96018.7,97292.7,44624.753,0.0
1735848000000,97292.7,97822.4,96642.7,96967.5,16114.829,0.0
