[22:06:55] [DEBUG] Using proactor: IocpProactor
[22:08:10] [INFO] {'e': 'trade', 'E': 1758373690179, 's': 'BTCUSDT', 't': 5245488149, 'p': '115868.90000000', 'q': '0.00005000', 'T': 1758373690175, 'm': True, 'M': True}
[22:08:10] [INFO] {'e': 'trade', 'E': 1758373690179, 's': 'BTCUSDT', 't': 5245488150, 'p': '115868.90000000', 'q': '0.02590000', 'T': 1758373690175, 'm': True, 'M': True}
[22:08:10] [INFO] {'e': 'trade', 'E': 1758373690179, 's': 'BTCUSDT', 't': 5245488151, 'p': '115868.90000000', 'q': '0.00005000', 'T': 1758373690175, 'm': True, 'M': True}
[22:08:10] [INFO] {'e': 'trade', 'E': 1758373690179, 's': 'BTCUSDT', 't': 5245488152, 'p': '115868.90000000', 'q': '0.00008000', 'T': 1758373690175, 'm': True, 'M': True}
[22:08:10] [INFO] {'e': 'trade', 'E': 1758373690179, 's': 'BTCUSDT', 't': 5245488153, 'p': '115868.90000000', 'q': '0.00050000', 'T': 1758373690175, 'm': True, 'M': True}
[22:08:10] [INFO] {'e': 'trade', 'E': 1758373690179, 's': 'BTCUSDT', 't': 5245488154, 'p': '115868.90000000', 'q': '0.00023000', 'T': 1758373690175, 'm': True, 'M': True}
[22:08:10] [INFO] {'e': 'trade', 'E': 1758373690179, 's': 'BTCUSDT', 't': 5245488155, 'p': '115868.90000000', 'q': '0.00904000', 'T': 1758373690175, 'm': True, 'M': True}
[22:08:10] [INFO] {'e': 'trade', 'E': 1758373690179, 's': 'BTCUSDT', 't': 5245488156, 'p': '115868.90000000', 'q': '0.24531000', 'T': 1758373690175, 'm': True, 'M': True}
[22:08:10] [INFO] {'e': 'trade', 'E': 1758373690179, 's': 'BTCUSDT', 't': 5245488157, 'p': '115868.90000000', 'q': '0.00005000', 'T': 1758373690175, 'm': True, 'M': True}
[22:08:10] [INFO] {'e': 'trade', 'E': 1758373690179, 's': 'BTCUSDT', 't': 5245488158, 'p': '115868.90000000', 'q': '0.00019000', 'T': 1758373690175, 'm': True, 'M': True}
[22:08:10] [INFO] {'e': 'trade', 'E': 1758373690179, 's': 'BTCUSDT', 't': 5245488159, 'p': '115868.90000000', 'q': '0.00005000', 'T': 1758373690175, 'm': True, 'M': True}
[22:08:10] [INFO] {'e': 'trade', 'E': 1758373690179, 's': 'BTCUSDT', 't': 5245488160, 'p': '115868.90000000', 'q': '0.00005000', 'T': 1758373690175, 'm': True, 'M': True}
[22:08:10] [INFO] {'e': 'trade', 'E': 1758373690179, 's': 'BTCUSDT', 't': 5245488161, 'p': '115868.90000000', 'q': '0.00086000', 'T': 1758373690175, 'm': True, 'M': True}
[22:08:10] [INFO] {'e': 'trade', 'E': 1758373690179, 's': 'BTCUSDT', 't': 5245488162, 'p': '115868.90000000', 'q': '0.00005000', 'T': 1758373690175, 'm': True, 'M': True}
[22:08:10] [INFO] {'e': 'trade', 'E': 1758373690179, 's': 'BTCUSDT', 't': 5245488163, 'p': '115868.90000000', 'q': '0.00005000', 'T': 1758373690175, 'm': True, 'M': True}
[22:08:10] [INFO] {'e': 'trade', 'E': 1758373690179, 's': 'BTCUSDT', 't': 5245488164, 'p': '115868.90000000', 'q': '0.00005000', 'T': 1758373690175, 'm': True, 'M': True}
